Attaching to apps_proxy_1, apps_arachni_1, apps_webgoat_1
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/goatApp/view/LessonContentView.js HTTP/1.1" 200 2316 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/goatApp/view/HintView.js HTTP/1.1" 200 1861 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/goatApp/view/HelpControlsView.js HTTP/1.1" 200 1649 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/goatApp/model/ParamModel.js HTTP/1.1" 200 193 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/goatApp/view/ParamView.js HTTP/1.1" 200 902 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/goatApp/view/CookieView.js HTTP/1.1" 200 910 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/goatApp/view/MenuButtonView.js HTTP/1.1" 200 699 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:05 +0000] "GET /WebGoat/js/goatApp/support/GoatUtils.js HTTP/1.1" 200 3628 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/goatApp/view/TitleView.js HTTP/1.1" 200 281 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
[36mproxy_1    |[0m 192.168.33.1 - - [18/Jan/2018:12:59:06 +0000] "GET /WebGoat/js/goatApp/view/UserAndInfoView.js HTTP/1.1" 200 859 "http://webgoat.cyexc-target/WebGoat/start.mvc" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:57.0) Gecko/20100101 Firefox/57.0" "-"
